# Kona Param. Contn. convergence history (opt tol = 1.193243e-04 | feas tol = 1.000000e-06)
# outer     inner      cost      objective     lagrangian       opt norm      feas norm       homotopy        hom opt       hom feas     mu             
      0     -----        24      2.647e+02      2.647e+02     1.1932e+00     0.0000e+00     ----------     ----------     ----------     1.0000     
     53         1     21019      2.106e+01      2.105e+01     2.5828e-01     4.3664e-02      2.686e+01     2.3629e-01     4.3686e-02     0.0000928     

     54         0     21532      2.097e+01      2.096e+01     2.5748e-01     4.3510e-02      2.669e+01     2.3825e-01     4.3519e-02     0.0000914     
     54         1     21796      2.090e+01      2.089e+01     2.5452e-01     4.3237e-02      2.662e+01     2.3296e-01     4.3261e-02     0.0000914     

     55         0     22311      2.084e+01      2.084e+01     2.5418e-01     4.1951e-02      2.648e+01     2.3523e-01     4.1957e-02     0.0000900     
     55         1     22577      2.081e+01      2.080e+01     2.5185e-01     4.0126e-02      2.645e+01     2.3070e-01     4.0145e-02     0.0000900     

     56         0     23088      2.074e+01      2.073e+01     2.5128e-01     3.9889e-02      2.618e+01     2.3305e-01     3.9902e-02     0.0000868     
     56         1     23352      2.067e+01      2.065e+01     2.4873e-01     4.2235e-02      2.611e+01     2.2840e-01     4.2258e-02     0.0000868     

     57         0     23870      2.059e+01      2.058e+01     2.4936e-01     4.2697e-02      2.442e+01     2.3682e-01     4.2702e-02     0.0000611     
     57         1     24130      2.057e+01      2.056e+01     2.4564e-01     4.0637e-02      2.440e+01     2.3164e-01     4.0651e-02     0.0000611     

     58         0     24651      2.050e+01      2.050e+01     2.4582e-01     3.9338e-02      2.305e+01     2.3747e-01     3.9345e-02     0.0000406     
     58         1     24918      2.041e+01      2.039e+01     2.4179e-01     4.3884e-02      2.295e+01     2.3261e-01     4.3896e-02     0.0000406     

     59         0     25443      2.029e+01      2.029e+01     2.4636e-01     4.7706e-02      2.259e+01     2.3894e-01     4.7710e-02     0.0000365     
     59         1     25709      2.032e+01      2.031e+01     2.3946e-01     4.2006e-02      2.261e+01     2.3132e-01     4.2014e-02     0.0000365     

     60         0     26223      2.032e+01      2.031e+01     2.4036e-01     3.7635e-02      2.211e+01     2.3434e-01     3.7640e-02     0.0000285     
     60         1     26493      2.013e+01      2.012e+01     2.3607e-01     4.8281e-02      2.192e+01     2.2965e-01     4.8289e-02     0.0000285     

     61         0     27020      2.014e+01      2.013e+01     2.4000e-01     4.3538e-02      2.104e+01     2.3711e-01     4.3541e-02     0.0000145     
     61         1     27284      2.010e+01      2.009e+01     2.3418e-01     4.3807e-02      2.100e+01     2.3100e-01     4.3810e-02     0.0000145     

     62         0     27811      2.007e+01      2.006e+01     2.3649e-01     4.0599e-02      2.006e+01     2.3649e-01     4.0599e-02     0.0000000     
     62         1     28084      1.998e+01      1.996e+01     2.3126e-01     4.4655e-02      1.996e+01     2.3126e-01     4.4655e-02     0.0000000     
     62         2     28363      1.987e+01      1.986e+01     2.2960e-01     4.8549e-02      1.986e+01     2.2960e-01     4.8549e-02     0.0000000     
     62         3     28636      1.991e+01      1.990e+01     2.2948e-01     4.1770e-02      1.990e+01     2.2948e-01     4.1770e-02     0.0000000     
     62         4     28901      1.978e+01      1.977e+01     2.2768e-01     4.8143e-02      1.977e+01     2.2768e-01     4.8143e-02     0.0000000     
     62         5     29168      1.984e+01      1.982e+01     2.2768e-01     4.0729e-02      1.982e+01     2.2768e-01     4.0729e-02     0.0000000     
     62         6     29437      1.977e+01      1.976e+01     2.2654e-01     4.2516e-02      1.976e+01     2.2654e-01     4.2516e-02     0.0000000     
     62         7     29708      1.976e+01      1.975e+01     2.2602e-01     4.0787e-02      1.975e+01     2.2602e-01     4.0787e-02     0.0000000     
