# Kona Param. Contn. convergence history (opt tol = 1.193243e-04 | feas tol = 1.000000e-06)
# outer     inner      cost      objective     lagrangian       opt norm      feas norm       homotopy        hom opt       hom feas     mu             
      0     -----        24      2.647e+02      2.647e+02     1.1932e+00     0.0000e+00     ----------     ----------     ----------     1.0000     
     53         0     101424      1.105e+01      1.106e+01     3.2901e-02     4.5538e-01      1.766e+01     1.0684e-02     4.5533e-01     0.0000961     
     53         1     105022      1.106e+01      1.106e+01     3.5324e-02     7.3683e-03      1.767e+01     1.3183e-03     7.3644e-03     0.0000961     
     53         2     108694      1.106e+01      1.106e+01     3.5644e-02     1.0015e-04      1.767e+01     2.6307e-05     6.1901e-05     0.0000961     

     54         0     112496      1.079e+01      1.079e+01     1.9750e-02     2.5340e-01      1.478e+01     6.4214e-03     2.5338e-01     0.0000579     
     54         1     116518      1.080e+01      1.080e+01     2.1400e-02     4.1808e-03      1.479e+01     7.2880e-04     4.1780e-03     0.0000579     
     54         2     120516      1.080e+01      1.080e+01     2.1559e-02     7.1115e-05      1.479e+01     1.1764e-04     5.4301e-05     0.0000579     

     55         0     124549      1.067e+01      1.067e+01     1.4009e-02     7.3328e-02      1.338e+01     2.1454e-03     7.3325e-02     0.0000393     
     55         1     128607      1.067e+01      1.067e+01     1.4602e-02     5.7506e-04      1.338e+01     1.2400e-04     5.7266e-04     0.0000393     

     56         0     132701      1.055e+01      1.055e+01     7.5749e-03     7.6664e-02      1.204e+01     2.7975e-03     7.6662e-02     0.0000216     
     56         1     136850      1.055e+01      1.055e+01     8.0404e-03     1.0794e-03      1.204e+01     1.2661e-03     1.0783e-03     0.0000216     
     56         2     141002      1.055e+01      1.055e+01     8.0162e-03     6.4523e-05      1.204e+01     2.0893e-04     6.1446e-05     0.0000216     

     57         0     145161      1.049e+01      1.049e+01     5.0764e-03     1.9542e-02      1.087e+01     3.8348e-03     1.9542e-02     0.0000055     
     57         1     149343      1.047e+01      1.047e+01     6.5730e-03     1.4357e-02      1.085e+01     6.1607e-03     1.4357e-02     0.0000055     
     57         2     153566      1.046e+01      1.046e+01     9.2690e-03     1.0147e-02      1.084e+01     9.0583e-03     1.0147e-02     0.0000055     

     58         0     162006      1.045e+01      1.045e+01     8.7576e-03     6.7185e-03      1.045e+01     8.7576e-03     6.7185e-03     0.0000000     
     58         1     166241      1.045e+01      1.045e+01     7.5007e-03     7.2797e-03      1.045e+01     7.5007e-03     7.2797e-03     0.0000000     
     58         2     170475      1.045e+01      1.045e+01     7.1181e-03     7.4201e-03      1.045e+01     7.1181e-03     7.4201e-03     0.0000000     
     58         3     174712      1.045e+01      1.045e+01     6.9347e-03     7.4613e-03      1.045e+01     6.9347e-03     7.4613e-03     0.0000000     
     58         4     178942      1.046e+01      1.046e+01     6.7749e-03     7.5493e-03      1.046e+01     6.7749e-03     7.5493e-03     0.0000000     
     58         5     183179      1.046e+01      1.046e+01     6.7542e-03     7.5201e-03      1.046e+01     6.7542e-03     7.5201e-03     0.0000000     
     58         6     187403      1.046e+01      1.046e+01     6.7542e-03     7.5129e-03      1.046e+01     6.7542e-03     7.5129e-03     0.0000000     
     58         7     191630      1.046e+01      1.046e+01     6.7474e-03     7.5150e-03      1.046e+01     6.7474e-03     7.5150e-03     0.0000000     
     58         8     195857      1.046e+01      1.046e+01     6.7405e-03     7.5200e-03      1.046e+01     6.7405e-03     7.5200e-03     0.0000000     
     58         9     200085      1.046e+01      1.046e+01     6.7404e-03     7.5199e-03      1.046e+01     6.7404e-03     7.5199e-03     0.0000000     
