#-------------------------------------------------
# FLECS convergence history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 6.342510e+01
# initial gradient norm     = 4.776911e+00
# initial constraint norm   = 6.324495e+01
# iters     rel. res.        rel. grad.       rel. feas.       aug. res.        aug. grad.       aug. feas.       pred             pred. aug.       mu          
     11     3.673447e-03     2.522286e-03     1.655773e-02     4.771765e+00     4.836480e+00     3.172382e-01     -1.532223e+02     5.849796e+01     2.511886e+00
     12     1.321120e-04     7.289114e-05     6.790816e-04     1.104414e+00     1.118813e+00     3.499014e-01     -1.532213e+02     1.060126e+02     2.511886e+00
     13     1.203879e-04     6.594175e-05     6.206938e-04     1.104414e+00     1.118813e+00     3.499013e-01     -1.532213e+02     1.060126e+02     2.511886e+00
     14     7.486989e-05     4.642433e-05     3.629093e-04     1.104414e+00     1.118813e+00     3.499011e-01     -1.532213e+02     1.060127e+02     2.511886e+00
     15     7.058820e-05     4.750352e-05     3.234409e-04     1.104414e+00     1.118813e+00     3.499010e-01     -1.532213e+02     1.060127e+02     2.511886e+00
     16     5.320854e-05     4.549121e-05     1.751256e-04     1.104414e+00     1.118813e+00     3.499009e-01     -1.532213e+02     1.060127e+02     2.511886e+00
# negative curvature suspected
# trust-radius constraint active
# FLECS final (true) rel. res.  :   |res|/|res0| = 5.320738e-05
# FLECS final (true) rel. feas. : |feas|/|feas0| = 1.751256e-04
#-------------------------------------------------
# FLECS convergence history
# residual tolerance target = 2.044814e-04
# initial residual norm     = 3.286494e+01
# initial gradient norm     = 3.246695e+01
# initial constraint norm   = 5.099164e+00
# iters     rel. res.        rel. grad.       rel. feas.       aug. res.        aug. grad.       aug. feas.       pred             pred. aug.       mu          
      0     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     0.000000e+00     0.000000e+00     3.162278e+00
      1     8.842558e-01     8.171914e-01     2.325468e+00     9.729274e-01     9.827923e-01     8.385757e-01     -4.896789e+01     5.356261e+00     3.162278e+00
      2     1.685216e-01     1.253383e-01     7.367819e-01     1.026446e+01     1.039023e+01     2.304523e-01     -1.125680e+01     3.524336e+01     3.162278e+00
      3     1.662327e-01     1.252877e-01     7.152149e-01     2.637641e+01     2.669971e+01     3.341074e-01     -1.291561e+01     1.428934e+02     3.162278e+00
      4     1.181555e-01     1.194196e-01     4.225339e-02     9.270035e+01     9.383669e+01     3.286426e-01     -1.212477e+01     1.430439e+02     3.162278e+00
      5     1.168234e-01     1.171024e-01     1.048897e-01     1.156984e+02     1.171166e+02     3.250310e-01     2.241513e+01     1.431413e+02     3.162278e+00
      6     1.163695e-01     1.162713e-01     1.202860e-01     6.040654e+02     6.114702e+02     2.901934e-01     3.282989e+01     1.440216e+02     3.162278e+00
      7     1.098767e-01     1.050867e-01     2.319820e-01     3.572895e+02     3.616692e+02     2.898418e-01     1.819969e+02     1.440295e+02     3.162278e+00
      8     8.545265e-02     6.985823e-02     3.247917e-01     7.609012e+00     7.702196e+00     2.866791e-01     5.202331e+02     1.441049e+02     3.162278e+00
      9     3.036679e-02     2.730918e-02     8.984113e-02     1.246849e+00     1.261584e+00     2.866503e-01     7.193504e+02     1.441057e+02     3.162278e+00
     10     2.418669e-02     2.234305e-02     6.373934e-02     2.160433e+00     2.186599e+00     2.866496e-01     7.213862e+02     1.441057e+02     3.162278e+00
     11     2.295364e-02     2.095925e-02     6.385409e-02     1.379243e+00     1.395653e+00     2.866478e-01     7.216496e+02     1.441057e+02     3.162278e+00
     12     1.776450e-02     1.459154e-02     6.691495e-02     1.431243e+00     1.448309e+00     2.866480e-01     7.223985e+02     1.441057e+02     3.162278e+00
     13     5.549833e-03     3.084506e-03     2.989577e-02     1.179455e+00     1.193335e+00     2.852019e-01     7.228695e+02     1.266999e+02     3.162278e+00
     14     2.539697e-03     1.620003e-03     1.270994e-02     1.179454e+00     1.193334e+00     2.851962e-01     7.228791e+02     1.267000e+02     3.162278e+00
     15     1.020305e-03     1.012445e-03     1.299523e-03     1.179454e+00     1.193334e+00     2.851961e-01     7.228818e+02     1.267001e+02     3.162278e+00
     16     1.009093e-03     1.007653e-03     1.065820e-03     1.179454e+00     1.193334e+00     2.851961e-01     7.228818e+02     1.267001e+02     3.162278e+00
     17     9.997379e-04     1.003980e-03     8.092664e-04     1.179454e+00     1.193335e+00     2.851961e-01     7.228819e+02     1.267001e+02     3.162278e+00
     18     9.981034e-04     1.005362e-03     6.376678e-04     1.179454e+00     1.193334e+00     2.851962e-01     7.228815e+02     1.267001e+02     3.162278e+00
     19     9.902988e-04     9.990794e-04     5.220573e-04     1.179454e+00     1.193334e+00     2.851960e-01     7.228829e+02     1.267001e+02     3.162278e+00
     20     9.900027e-04     9.993011e-04     4.798112e-04     1.179454e+00     1.193334e+00     2.851960e-01     7.228829e+02     1.267001e+02     3.162278e+00
# trust-radius constraint active
# FLECS final (true) rel. res.  :   |res|/|res0| = 9.900060e-04
# FLECS final (true) rel. feas. : |feas|/|feas0| = 4.798112e-04
#-------------------------------------------------
# FLECS resolving at new radius
     20     9.955850e-04     9.993011e-04     4.798112e-04     9.955850e-04     9.993011e-04     2.543381e-01     7.228829e+02     7.952499e+01     3.162278e+00
# trust-radius constraint active
#-------------------------------------------------
# FLECS convergence history
# residual tolerance target = 1.942574e-04
# initial residual norm     = 1.172542e+02
# initial gradient norm     = 1.171716e+02
# initial constraint norm   = 4.399181e+00
# iters     rel. res.        rel. grad.       rel. feas.       aug. res.        aug. grad.       aug. feas.       pred             pred. aug.       mu          
      0     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     0.000000e+00     0.000000e+00     3.981072e+00
      1     6.686068e-01     4.576909e-01     1.299892e+01     9.568737e-01     9.573553e-01     1.150670e+00     5.356706e+02     4.456173e+01     3.981072e+00
      2     1.925882e-01     1.860058e-01     1.343505e+00     4.908435e+00     4.911866e+00     8.257563e-01     2.499811e+01     1.381207e+02     3.981072e+00
