#-------------------------------------------------
# FLECS convergence history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 6.342510e+01
# initial gradient norm     = 4.776911e+00
# initial constraint norm   = 6.324495e+01
# iters     rel. res.        rel. grad.       rel. feas.       aug. feas.       pred             pred. aug.       mu          
# negative curvature suspected
# trust-radius constraint active
#-------------------------------------------------
# FLECS convergence history
# residual tolerance target = 2.003990e-04
# initial residual norm     = 3.050014e+00
# initial gradient norm     = 5.600574e-01
# initial constraint norm   = 2.998153e+00
# iters     rel. res.        rel. grad.       rel. feas.       aug. feas.       pred             pred. aug.       mu          
      0     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     0.000000e+00     0.000000e+00     1.230269e+00
      1     9.786238e-01     9.688298e-01     9.789638e-01     7.608644e-01     1.182677e-02     2.496198e+00     1.230269e+00
      2     5.896390e-01     7.113008e-01     5.849370e-01     5.855043e-01     4.656584e-02     3.694429e+00     1.230269e+00
      3     5.836847e-01     6.965918e-01     5.793477e-01     5.651830e-01     5.243433e-02     3.890862e+00     1.230269e+00
      4     5.600938e-01     6.370488e-01     5.572166e-01     5.560286e-01     4.440327e-02     3.925091e+00     1.230269e+00
      5     5.590687e-01     6.312785e-01     5.563798e-01     5.576677e-01     5.372212e-02     3.968234e+00     1.230269e+00
      6     5.497904e-01     6.044655e-01     5.477841e-01     5.565399e-01     4.411622e-02     3.968692e+00     1.230269e+00
      7     5.497302e-01     6.040603e-01     5.477371e-01     5.665815e-01     4.746254e-02     4.073403e+00     1.230269e+00
      8     5.481853e-01     6.036757e-01     5.461472e-01     5.690049e-01     4.113763e-02     4.077389e+00     1.230269e+00
      9     5.481585e-01     6.034283e-01     5.461289e-01     5.943507e-01     4.389774e-02     4.390721e+00     1.230269e+00
     10     5.466525e-01     6.023354e-01     5.446066e-01     5.919053e-01     4.066790e-02     4.417438e+00     1.230269e+00
     11     5.464282e-01     6.013256e-01     5.444126e-01     6.009064e-01     4.998474e-02     4.604121e+00     1.230269e+00
     12     5.433445e-01     6.027856e-01     5.411524e-01     6.052981e-01     3.539320e-02     4.626415e+00     1.230269e+00
     13     5.432347e-01     6.024167e-01     5.410527e-01     6.080087e-01     3.979995e-02     4.813217e+00     1.230269e+00
     14     5.421264e-01     6.027280e-01     5.398889e-01     6.081766e-01     3.493091e-02     4.813336e+00     1.230269e+00
     15     5.419182e-01     6.016071e-01     5.397162e-01     6.087280e-01     4.299787e-02     4.965474e+00     1.230269e+00
     16     5.379150e-01     6.092966e-01     5.352523e-01     6.165352e-01     2.272892e-02     5.045870e+00     1.230269e+00
     17     5.377320e-01     6.086613e-01     5.350872e-01     6.127571e-01     2.842733e-02     5.077892e+00     1.230269e+00
     18     5.360441e-01     6.056393e-01     5.334517e-01     6.142041e-01     2.000003e-02     5.091603e+00     1.230269e+00
     19     5.358402e-01     6.043717e-01     5.332898e-01     6.126398e-01     2.418065e-02     5.101918e+00     1.230269e+00
     20     5.285708e-01     6.169186e-01     5.252197e-01     6.166911e-01     -1.348383e-03     5.145512e+00     1.230269e+00
# negative curvature suspected
# FLECS final (true) rel. res.  :   |res|/|res0| = 5.285708e-01
# FLECS final (true) rel. feas. : |feas|/|feas0| = 5.252197e-01
#-------------------------------------------------
# FLECS convergence history
# residual tolerance target = 3.192432e-04
# initial residual norm     = 1.904279e+00
# initial gradient norm     = 2.902082e-01
# initial constraint norm   = 1.882035e+00
# iters     rel. res.        rel. grad.       rel. feas.       aug. feas.       pred             pred. aug.       mu          
