# Kona Param. Contn. convergence history (opt tol = 1.193243e-04 | feas tol = 1.000000e-06)
# outer     inner      cost      objective     lagrangian       opt norm      feas norm       homotopy        hom opt       hom feas     mu             
      0     -----        24      2.647e+02      2.647e+02     1.1932e+00     0.0000e+00     ----------     ----------     ----------     1.0000     
     42         1     155120      1.213e+01      1.213e+01     8.8202e-02     1.3501e-02      2.795e+01     4.6581e-03     1.3492e-02     0.0002333     
     42         2     161117      1.213e+01      1.213e+01     8.5943e-02     2.2363e-04      2.795e+01     2.6205e-05     9.7461e-05     0.0002333     

     43         0     167153      1.139e+01      1.140e+01     4.9076e-02     7.2156e-01      2.115e+01     1.3573e-02     7.2145e-01     0.0001426     
     43         1     173292      1.141e+01      1.141e+01     5.3215e-02     6.1112e-03      2.116e+01     2.3638e-03     6.1052e-03     0.0001426     
     43         2     179474      1.141e+01      1.141e+01     5.2748e-02     1.5885e-04      2.116e+01     1.9160e-05     1.0470e-04     0.0001426     

     44         0     185742      1.100e+01      1.100e+01     3.0323e-02     3.9574e-01      1.709e+01     9.6955e-03     3.9570e-01     0.0000886     
     44         1     192095      1.101e+01      1.101e+01     3.2663e-02     7.0339e-03      1.710e+01     1.1964e-03     7.0302e-03     0.0000886     
     44         2     198477      1.101e+01      1.101e+01     3.2861e-02     1.0562e-04      1.710e+01     2.6158e-05     7.6786e-05     0.0000886     

     45         0     204951      1.077e+01      1.077e+01     1.8664e-02     2.1215e-01      1.451e+01     5.3125e-03     2.1213e-01     0.0000543     
     45         1     211575      1.077e+01      1.077e+01     2.0117e-02     3.3652e-03      1.451e+01     8.4900e-04     3.3626e-03     0.0000543     
     45         2     218247      1.077e+01      1.077e+01     2.0206e-02     1.0403e-04      1.451e+01     1.0513e-04     9.4526e-05     0.0000543     

     46         0     225019      1.064e+01      1.064e+01     1.2552e-02     7.8353e-02      1.308e+01     2.3194e-03     7.8350e-02     0.0000353     
     46         1     231780      1.064e+01      1.064e+01     1.3059e-02     6.7266e-04      1.308e+01     3.7721e-04     6.7060e-04     0.0000353     
     46         2     238581      1.064e+01      1.064e+01     1.3133e-02     2.7223e-05      1.308e+01     2.0173e-06     4.4871e-06     0.0000353     

     47         0     245526      1.054e+01      1.054e+01     6.9886e-03     6.0897e-02      1.191e+01     2.3084e-03     6.0896e-02     0.0000198     
     47         1     252472      1.054e+01      1.054e+01     7.1500e-03     7.7625e-04      1.190e+01     6.2876e-04     7.7522e-04     0.0000198     
     47         2     259498      1.054e+01      1.054e+01     7.3538e-03     1.7997e-05      1.190e+01     5.6365e-06     9.6608e-06     0.0000198     

     48         0     266623      1.048e+01      1.048e+01     4.3409e-03     1.6377e-02      1.132e+01     9.1430e-04     1.6377e-02     0.0000121     
     48         1     273706      1.048e+01      1.048e+01     4.3521e-03     1.9430e-04      1.132e+01     2.7258e-04     1.9357e-04     0.0000121     
     48         2     280844      1.048e+01      1.048e+01     4.4887e-03     9.2883e-06      1.132e+01     3.3384e-06     2.1888e-06     0.0000121     

     49         0     288069      1.045e+01      1.045e+01     2.5560e-03     7.3526e-03      1.094e+01     5.0676e-04     7.3524e-03     0.0000071     
     49         1     295326      1.045e+01      1.045e+01     2.5562e-03     1.1935e-04      1.094e+01     1.4349e-04     1.1892e-04     0.0000071     
     49         2     302607      1.045e+01      1.045e+01     2.6279e-03     5.9573e-06      1.094e+01     2.5698e-06     2.6939e-06     0.0000071     

     50         0     309990      1.043e+01      1.043e+01     1.5509e-03     2.6433e-03      1.073e+01     1.9100e-04     2.6432e-03     0.0000042     
     50         1     317355      1.043e+01      1.043e+01     1.5936e-03     4.2083e-05      1.072e+01     3.4007e-05     4.1755e-05     0.0000042     

     51         0     324792      1.042e+01      1.042e+01     8.8159e-04     1.4375e-03      1.058e+01     9.3679e-05     1.4374e-03     0.0000024     
     51         1     332231      1.042e+01      1.042e+01     8.9684e-04     2.4620e-05      1.058e+01     1.7233e-05     2.4432e-05     0.0000024     

     52         0     339688      1.041e+01      1.041e+01     4.4559e-04     8.2046e-04      1.049e+01     5.7134e-05     8.2042e-04     0.0000012     
     52         1     347168      1.041e+01      1.041e+01     4.5316e-04     2.2535e-05      1.049e+01     1.2241e-05     2.2458e-05     0.0000012     

     53         0     354672      1.041e+01      1.041e+01     2.8536e-04     1.8891e-04      1.046e+01     1.8105e-05     1.8888e-04     0.0000008     
     53         1     362182      1.041e+01      1.041e+01     2.8850e-04     3.4517e-06      1.046e+01     1.0668e-05     3.3703e-06     0.0000008     
     53         2     369710      1.041e+01      1.041e+01     2.8512e-04     6.0127e-07      1.046e+01     8.2924e-07     1.6778e-07     0.0000008     
