# FSTOPO Homotopy iteration timing history
# Iter    Time (s)    Total Time (s)    Objective Val    max(abs(-S*Lam))   negative S   postive Lam
  432        10.64        4666.75        263.264      0.017300     0     0
  433        10.63        4677.38        263.261      0.017306     0     0
  434        10.63        4688.01        263.259      0.017311     0     0
  435        10.63        4698.64        263.256      0.017317     0     0
  436        10.67        4709.30        263.253      0.017322     0     0
  437        10.72        4720.02        263.251      0.017327     0     0
  438        10.63        4730.65        263.248      0.017333     0     0
  439        10.60        4741.25        263.245      0.017338     0     0
  440        10.60        4751.85        263.242      0.017344     0     0
  441        10.62        4762.47        263.24      0.017349     0     0
  442        10.62        4773.09        263.237      0.017354     0     0
  443        10.60        4783.69        263.234      0.017360     0     0
  444        10.60        4794.29        263.231      0.017365     0     0
  445        10.60        4804.89        263.229      0.017370     0     0
  446        10.61        4815.50        263.226      0.017376     0     0
  447        10.61        4826.10        263.223      0.017381     0     0
  448        10.72        4836.83        263.22      0.017386     0     0
  449        10.61        4847.44        263.218      0.017391     0     0
  450        10.61        4858.05        263.215      0.017397     0     0
  451        10.60        4868.65        263.212      0.017402     0     0
  452        10.60        4879.25        263.209      0.017407     0     0
  453        10.61        4889.86        263.206      0.017412     0     0
  454        10.60        4900.46        263.203      0.017417     0     0
  455        10.59        4911.05        263.201      0.017422     0     0
  456        10.60        4921.66        263.198      0.017428     0     0
  457        10.61        4932.27        263.195      0.017433     0     0
  458        10.62        4942.88        263.192      0.017438     0     0
  459        10.77        4953.65        263.189      0.017443     0     0
  460        10.62        4964.27        263.186      0.017448     0     0
  461        10.61        4974.88        263.183      0.017453     0     0
  462        10.60        4985.48        263.181      0.017458     0     0
  463        10.60        4996.09        263.178      0.017463     0     0
  464        10.59        5006.68        263.175      0.017468     0     0
  465        10.62        5017.30        263.172      0.017473     0     0
  466        10.60        5027.90        263.169      0.017478     0     0
  467        10.59        5038.49        263.166      0.017483     0     0
  468        10.60        5049.09        263.163      0.017488     0     0
  469        10.60        5059.70        263.16      0.017493     0     0
  470        10.61        5070.30        263.157      0.017498     0     0
  471        10.74        5081.04        263.154      0.017502     0     0
  472        10.61        5091.65        263.151      0.017507     0     0
  473        10.60        5102.25        263.148      0.017512     0     0
  474        10.60        5112.85        263.145      0.017517     0     0
  475        10.60        5123.44        263.142      0.017522     0     0
  476        10.61        5134.05        263.139      0.017527     0     0
  477        10.62        5144.67        263.136      0.017531     0     0
  478        10.60        5155.27        263.133      0.017536     0     0
  479        10.60        5165.87        263.13      0.017541     0     0
  480        10.60        5176.47        263.127      0.017546     0     0
  481        10.61        5187.08        263.124      0.017550     0     0
  482        10.77        5197.86        263.121      0.017555     0     0
  483        10.60        5208.46        263.118      0.017560     0     0
  484        10.61        5219.07        263.115      0.017564     0     0
  485        10.61        5229.68        263.112      0.017569     0     0
  486        10.60        5240.27        263.109      0.017574     0     0
  487        10.60        5250.88        263.106      0.017578     0     0
  488        10.60        5261.48        263.103      0.017583     0     0
  489        10.61        5272.08        263.1      0.017588     0     0
  490        10.60        5282.68        263.097      0.017592     0     0
  491        10.60        5293.28        263.094      0.017597     0     0
  492        10.60        5303.89        263.091      0.017601     0     0
  493        10.83        5314.72        263.088      0.017606     0     0
  494        10.60        5325.32        263.084      0.017610     0     0
  495        10.59        5335.91        263.081      0.017615     0     0
  496        10.60        5346.51        263.078      0.017620     0     0
  497        10.62        5357.13        263.075      0.017624     0     0
  498        10.62        5367.75        263.072      0.017628     0     0
  499        10.61        5378.36        263.069      0.017633     0     0
  500        10.61        5388.98        263.065      0.017637     0     0
  501        10.62        5399.60        263.062      0.017642     0     0
  502        10.61        5410.21        263.059      0.017646     0     0
  503        10.84        5421.05        263.056      0.017651     0     0
  504        10.66        5431.71        263.053      0.017655     0     0
  505        10.70        5442.41        263.049      0.017659     0     0
  506        10.63        5453.04        263.046      0.017664     0     0
  507        10.61        5463.65        263.043      0.017668     0     0
  508        10.61        5474.25        263.04      0.017672     0     0
  509        10.59        5484.85        263.036      0.017677     0     0
  510        10.61        5495.46        263.033      0.017681     0     0
  511        10.60        5506.06        263.03      0.017685     0     0
  512        10.60        5516.66        263.027      0.017690     0     0
  513        10.60        5527.27        263.023      0.017694     0     0
  514        10.61        5537.88        263.02      0.017698     0     0
  515        10.61        5548.48        263.017      0.017702     0     0
  516        11.78        5560.26        263.013      0.017707     0     0
  517        10.63        5570.89        263.01      0.017711     0     0
  518        10.62        5581.51        263.007      0.017715     0     0
  519        10.61        5592.12        263.004      0.017719     0     0
  520        10.65        5602.77         263      0.017723     0     0
  521        10.68        5613.45        262.997      0.017727     0     0
  522        10.62        5624.07        262.993      0.017732     0     0
  523        10.62        5634.69        262.99      0.017736     0     0
  524        10.61        5645.31        262.987      0.017740     0     0
  525        10.62        5655.93        262.983      0.017744     0     0
  526        10.62        5666.54        262.98      0.017748     0     0
  527        11.64        5678.19        262.976      0.017752     0     0
  528        10.66        5688.84        262.973      0.017756     0     0
  529        10.64        5699.48        262.97      0.017760     0     0
  530        10.64        5710.12        262.966      0.017764     0     0
  531        10.63        5720.76        262.963      0.017768     0     0
  532        10.63        5731.38        262.959      0.017772     0     0
  533        10.64        5742.02        262.956      0.017776     0     0
  534        10.62        5752.65        262.952      0.017780     0     0
  535        10.63        5763.27        262.949      0.017784     0     0
  536        10.63        5773.90        262.945      0.017788     0     0
  537        10.63        5784.53        262.942      0.017792     0     0
  538        10.75        5795.28        262.938      0.017796     0     0
  539        10.62        5805.90        262.935      0.017800     0     0
  540        10.62        5816.53        262.931      0.017804     0     0
  541        10.62        5827.14        262.928      0.017808     0     0
  542        10.61        5837.75        262.924      0.017812     0     0
  543        10.64        5848.39        262.921      0.017816     0     0
  544        10.63        5859.02        262.917      0.017819     0     0
  545        10.62        5869.64        262.913      0.017823     0     0
  546        10.63        5880.26        262.91      0.017827     0     0
  547        10.72        5890.98        262.906      0.017831     0     0
  548        10.70        5901.68        262.903      0.017835     0     0
  549        10.74        5912.42        262.899      0.017838     0     0
  550        10.70        5923.13        262.895      0.017842     0     0
  551        10.62        5933.75        262.892      0.017846     0     0
  552        10.62        5944.36        262.888      0.017850     0     0
